Loan Amount,Loan Term,Employment Length,Home Ownership,Annual Income,Loan Purpose,Address State,Debt To Income Ratio,No. Delinquencies In Last 2 Years,Earliest Credit Line Opened,FICO Credit Score,No. Inquiries In Last 6 Months,Months Since Last Delinquency,No. Of Credit Lines,No. Adverse Public Records,Total Credit Balance,Use Of Credit Line,Total Number Of Credit Lines,Loan Application Description,No. Of Public Record Bankruptcies,Class
10000,36 Months,9.0,MORTGAGE,56000.0,Debt Consolidation,CT,12.58,None,33243.09583,700.0,1.0,69,6.0,None,18724.0,52.3,29.0,0,None,Creditworthy
14400,36 Months,2.0,OWN,115000.0,Debt Consolidation,IL,11.3,None,36196.51319,730.0,0.0,0,18.0,None,28541.0,41.3,54.0,1000,None,Creditworthy
1500,36 Months,0.5,RENT,28800.0,Debt Consolidation,IL,15.04,None,32694.47292,740.0,0.0,27,6.0,None,949.0,22.1,12.0,1000,None,Creditworthy
1400,36 Months,10.0,MORTGAGE,80000.0,Credit Card,CT,17.76,None,32388.47778,790.0,8.0,0,16.0,None,935.0,3.0,63.0,0,None,Creditworthy
4800,36 Months,2.0,MORTGAGE,140000.0,Debt Consolidation,VA,15.93,None,32305.20972,725.0,1.0,0,11.0,None,29030.0,66.7,43.0,186,None,Creditworthy
6000,36 Months,2.0,MORTGAGE,79800.0,Debt Consolidation,CO,10.57,None,35325.4875,785.0,0.0,0,15.0,None,1057.0,2.4,37.0,0,None,Creditworthy
5000,36 Months,6.0,MORTGAGE,69996.0,Wedding,MD,8.21,None,36671.429169999996,730.0,3.0,0,4.0,None,2535.0,50.7,15.0,36,None,Creditworthy
12000,36 Months,4.0,RENT,55000.0,Debt Consolidation,NY,16.34,None,36441.46389,700.0,0.0,0,8.0,None,23260.0,86.8,23.0,261,None,Creditworthy
11900,36 Months,9.0,MORTGAGE,85000.0,Debt Consolidation,NC,17.15,None,37094.454860000005,720.0,0.0,0,16.0,None,24747.0,41.3,26.0,245,None,Creditworthy
1200,36 Months,4.0,RENT,14000.0,Other,OR,3.35,None,37075.111110000005,750.0,1.0,0,2.0,None,1196.0,21.4,10.0,98,None,Uncreditworthy
8700,36 Months,8.0,RENT,40000.0,Debt Consolidation,MO,10.26,None,38838.367360000004,715.0,1.0,0,5.0,None,3470.0,43.4,7.0,48,None,Creditworthy
25000,36 Months,10.0,MORTGAGE,115000.0,Debt Consolidation,TX,22.28,None,34276.39583,720.0,0.0,0,17.0,None,50000.0,43.4,40.0,688,None,Creditworthy
5000,36 Months,4.0,MORTGAGE,36000.0,Home Improvement,GA,15.2,None,36761.378469999996,670.0,1.0,25,12.0,None,1251.0,9.0,25.0,0,None,Creditworthy
16000,60 Months,3.0,RENT,32000.0,Credit Card,MI,14.44,None,38018.09861,730.0,0.0,0,4.0,None,18768.0,59.3,8.0,0,None,Uncreditworthy
8500,36 Months,0.5,RENT,25000.0,Other,CA,18.48,Two,36632.13194,700.0,2.0,9,20.0,None,2284.0,4.7,27.0,687,None,Uncreditworthy
6700,36 Months,10.0,MORTGAGE,120000.0,Credit Card,NJ,7.05,None,30000.0,695.0,2.0,0,8.0,None,24048.0,82.9,17.0,120,None,Uncreditworthy
10000,36 Months,4.0,RENT,70000.0,Debt Consolidation,MI,9.87,None,35239.21944,745.0,3.0,0,12.0,None,4062.0,18.1,21.0,223,None,Creditworthy
25000,60 Months,8.0,RENT,49992.0,Debt Consolidation,NY,18.22,None,36114.29931,700.0,2.0,0,8.0,None,25016.0,79.3,16.0,1000,None,Uncreditworthy
2400,60 Months,2.0,RENT,33000.0,Other,CA,20.25,None,38251.45764,660.0,1.0,0,4.0,None,1507.0,47.1,5.0,411,None,Uncreditworthy
6000,36 Months,5.0,RENT,36000.0,Wedding,TX,13.8,None,38776.275,685.0,3.0,0,3.0,None,2439.0,78.7,3.0,405,None,Creditworthy
14400,36 Months,2.0,RENT,43000.0,Credit Card,FL,19.69,None,36423.37986,760.0,0.0,0,13.0,None,4261.0,26.8,20.0,1000,None,Creditworthy
18000,60 Months,1.0,MORTGAGE,90000.0,Debt Consolidation,MO,3.32,None,37365.16667,725.0,0.0,0,13.0,None,10091.0,49.5,24.0,0,None,Creditworthy
10800,36 Months,0.5,RENT,35000.0,Debt Consolidation,VA,8.85,None,36844.10556,730.0,0.0,0,7.0,None,10935.0,52.1,13.0,365,None,Uncreditworthy
7000,36 Months,7.0,OWN,14400.0,Credit Card,KY,13.5,None,34850.075,795.0,0.0,0,8.0,None,4853.0,10.0,24.0,372,None,Creditworthy
9800,36 Months,7.0,RENT,50000.0,Debt Consolidation,CA,9.1,None,35078.23333,685.0,0.0,0,6.0,One,17497.0,74.8,13.0,0,One,Uncreditworthy
10000,36 Months,9.0,MORTGAGE,72000.0,Debt Consolidation,AL,14.93,None,36095.48542,680.0,0.0,0,9.0,None,19302.0,95.1,17.0,461,None,Creditworthy
15000,36 Months,3.0,MORTGAGE,107000.0,Debt Consolidation,PA,15.81,None,32828.19792,660.0,0.0,41,13.0,None,44543.0,86.8,42.0,901,None,Uncreditworthy
3000,36 Months,2.0,RENT,72000.0,Medical,TX,1.25,None,36275.52153,685.0,3.0,0,5.0,None,1403.0,31.2,15.0,78,None,Creditworthy
8500,36 Months,5.0,RENT,50004.0,Debt Consolidation,TX,17.33,None,37045.19167,735.0,1.0,0,17.0,None,9048.0,26.6,22.0,115,None,Creditworthy
5500,36 Months,3.0,RENT,64000.0,Debt Consolidation,CA,22.69,None,31817.53958,705.0,0.0,78,7.0,None,8654.0,67.6,17.0,0,None,Creditworthy
9500,36 Months,5.0,MORTGAGE,45600.0,Debt Consolidation,CA,16.34,None,36722.09653,720.0,3.0,0,7.0,None,8737.0,80.4,27.0,277,None,Creditworthy
3000,36 Months,1.0,RENT,40000.0,Other,DC,10.05,None,39001.43611,700.0,1.0,0,3.0,None,627.0,34.8,3.0,116,None,Creditworthy
8000,36 Months,8.0,RENT,65000.0,Debt Consolidation,OH,22.87,None,36275.36319,705.0,0.0,0,9.0,None,10770.0,59.2,15.0,0,None,Creditworthy
10000,60 Months,7.0,MORTGAGE,100008.0,Debt Consolidation,PA,9.64,Two,30792.235419999997,685.0,1.0,9,10.0,None,10078.0,84.9,29.0,317,None,Creditworthy
16000,60 Months,0.5,MORTGAGE,32000.0,Small Business,VA,9.26,None,37601.326389999995,755.0,0.0,30,5.0,None,27265.0,64.5,10.0,1000,None,Uncreditworthy
5000,36 Months,10.0,MORTGAGE,59000.0,Major Purchase,MI,10.54,None,36497.147919999996,745.0,0.0,0,12.0,None,22157.0,30.6,35.0,164,None,Uncreditworthy
9750,36 Months,10.0,MORTGAGE,45000.0,Debt Consolidation,MA,21.39,None,37439.23403,670.0,0.0,45,13.0,None,16714.0,74.3,28.0,602,None,Uncreditworthy
5000,36 Months,2.0,RENT,58380.0,Major Purchase,AZ,5.24,None,34618.263889999995,665.0,2.0,51,8.0,None,5073.0,50.0,14.0,48,None,Creditworthy
6000,36 Months,1.0,MORTGAGE,75000.0,Credit Card,MD,18.67,None,34233.22917,730.0,1.0,64,13.0,None,7849.0,40.5,39.0,371,None,Creditworthy
14000,36 Months,9.0,MORTGAGE,95000.0,Small Business,TX,3.95,None,36197.22986,765.0,1.0,0,14.0,None,12683.0,21.1,28.0,147,None,Creditworthy
6000,36 Months,7.0,RENT,42000.0,Credit Card,WI,21.2,None,34054.05347,725.0,2.0,0,7.0,One,8706.0,32.6,14.0,238,One,Creditworthy
20000,36 Months,2.0,MORTGAGE,135000.0,Credit Card,CA,13.86,None,34471.53333,735.0,2.0,0,7.0,None,37683.0,91.6,21.0,616,None,Creditworthy
5525,36 Months,1.0,MORTGAGE,46800.0,Car,TX,14.59,None,35217.17639,685.0,2.0,0,8.0,None,7120.0,57.9,11.0,473,None,Creditworthy
14000,36 Months,3.0,RENT,55000.0,Debt Consolidation,FL,18.92,None,37128.30972,730.0,1.0,0,8.0,None,9646.0,41.6,25.0,239,None,Creditworthy
12000,36 Months,3.0,RENT,44517.0,Debt Consolidation,MD,20.08,None,38790.35486,705.0,1.0,0,12.0,None,9704.0,54.5,17.0,108,None,Creditworthy
4000,36 Months,8.0,RENT,54000.0,Debt Consolidation,WA,15.58,None,33621.40139,680.0,0.0,50,11.0,One,10597.0,58.2,28.0,0,None,Uncreditworthy
6225,36 Months,0.5,RENT,20400.0,Debt Consolidation,CA,18.35,None,36596.12917,740.0,1.0,0,7.0,None,9121.0,55.4,13.0,36,None,Creditworthy
4550,36 Months,2.0,RENT,42000.0,Debt Consolidation,WA,7.0,None,35797.09097,670.0,1.0,48,5.0,One,2406.0,37.6,9.0,0,One,Creditworthy
8000,36 Months,0.5,RENT,41000.0,Debt Consolidation,NJ,8.2,One,38246.35972,660.0,0.0,10,6.0,None,7979.0,48.7,12.0,270,None,Creditworthy
11500,36 Months,5.0,RENT,35400.0,Debt Consolidation,OK,11.05,None,36677.20833,745.0,1.0,0,12.0,None,14793.0,50.1,22.0,195,None,Uncreditworthy
20000,36 Months,3.0,RENT,168600.0,Credit Card,VA,19.27,None,35788.43542,740.0,0.0,0,20.0,None,50000.0,72.6,53.0,1000,None,Creditworthy
10000,36 Months,4.0,MORTGAGE,47000.0,Credit Card,KS,8.27,None,34719.22014,670.0,0.0,25,7.0,None,12269.0,57.1,18.0,167,None,Creditworthy
21250,36 Months,10.0,OWN,43200.0,House,NY,22.81,None,35204.536810000005,725.0,0.0,0,5.0,None,20963.0,76.5,10.0,365,None,Creditworthy
12000,36 Months,6.0,MORTGAGE,100671.39,Credit Card,IL,6.64,None,30000.0,720.0,0.0,62,16.0,One,7606.0,18.6,39.0,49,One,Creditworthy
6000,60 Months,3.0,MORTGAGE,60000.0,Debt Consolidation,TX,9.44,None,35264.22917,740.0,0.0,26,7.0,None,0.0,0.0,34.0,96,None,Creditworthy
8000,36 Months,8.0,RENT,101000.0,Debt Consolidation,CA,6.42,Two,36111.4,670.0,0.0,9,7.0,None,17588.0,47.8,16.0,42,None,Creditworthy
6000,36 Months,2.0,MORTGAGE,62000.0,Debt Consolidation,VA,14.05,None,36590.43681,675.0,1.0,0,7.0,None,5810.0,85.4,8.0,417,None,Creditworthy
14000,60 Months,10.0,MORTGAGE,48000.0,Debt Consolidation,CA,8.45,None,34703.30208,685.0,1.0,71,8.0,None,12801.0,42.8,26.0,0,None,Creditworthy
7750,36 Months,2.0,MORTGAGE,90000.0,Debt Consolidation,CA,21.15,None,37326.517360000005,720.0,1.0,53,22.0,None,10642.0,26.9,47.0,164,None,Creditworthy
20000,36 Months,2.0,RENT,110000.0,Credit Card,CO,12.86,None,34906.11597,745.0,1.0,0,21.0,None,7491.0,7.7,49.0,437,None,Creditworthy
4200,60 Months,2.0,RENT,38400.0,Debt Consolidation,CA,15.91,None,39160.04792,660.0,0.0,0,8.0,None,8531.0,68.8,13.0,546,None,Creditworthy
15875,36 Months,10.0,RENT,65000.0,Debt Consolidation,MI,19.18,None,36503.486110000005,685.0,2.0,73,9.0,None,10693.0,57.2,24.0,279,None,Creditworthy
15000,36 Months,9.0,MORTGAGE,100000.0,Credit Card,CA,14.71,None,35497.45694,705.0,0.0,0,7.0,None,11690.0,78.5,11.0,372,None,Creditworthy
18000,36 Months,10.0,RENT,75576.0,Credit Card,CA,15.99,None,32513.49375,750.0,0.0,0,11.0,None,37888.0,52.3,26.0,1000,None,Creditworthy
16500,36 Months,4.0,RENT,47000.0,Debt Consolidation,NY,14.73,None,38549.43125,730.0,0.0,0,8.0,None,8659.0,54.5,12.0,332,None,Creditworthy
15600,36 Months,4.0,RENT,41000.0,Debt Consolidation,NJ,22.04,None,36526.28056,705.0,0.0,0,9.0,None,15556.0,81.4,21.0,292,None,Creditworthy
5000,36 Months,4.0,RENT,53500.0,Debt Consolidation,IL,10.5,None,33951.24306,690.0,0.0,63,8.0,None,4819.0,55.3,17.0,499,None,Creditworthy
1000,36 Months,6.0,RENT,28000.0,Major Purchase,MO,24.21,None,37586.2125,705.0,3.0,0,7.0,None,3749.0,89.3,21.0,0,None,Uncreditworthy
7500,36 Months,1.0,RENT,68000.0,Debt Consolidation,OR,6.07,One,37958.11389,700.0,0.0,17,8.0,None,7224.0,70.1,11.0,641,None,Creditworthy
10000,36 Months,1.0,RENT,51000.0,Small Business,OH,23.53,None,35607.195830000004,700.0,3.0,0,20.0,None,19230.0,44.4,32.0,410,None,Creditworthy
15000,60 Months,1.0,MORTGAGE,95000.0,Debt Consolidation,CA,10.67,Four,35525.51875,660.0,1.0,15,9.0,None,20194.0,78.0,27.0,160,None,Uncreditworthy
7800,36 Months,1.0,RENT,100000.0,Debt Consolidation,CA,15.46,None,35932.36042,720.0,0.0,0,13.0,None,14812.0,83.3,38.0,356,None,Creditworthy
8825,36 Months,0.5,RENT,50000.0,Debt Consolidation,CT,21.1,None,37914.065969999996,700.0,2.0,0,7.0,None,9258.0,84.2,19.0,400,None,Creditworthy
12450,36 Months,2.0,RENT,42996.0,Debt Consolidation,WI,12.5,None,38447.29444,665.0,2.0,0,5.0,None,7722.0,82.1,6.0,25,None,Creditworthy
1500,36 Months,1.0,RENT,63000.0,House,FL,16.9,None,37471.27014,730.0,1.0,0,9.0,None,5848.0,44.6,17.0,486,None,Creditworthy
2400,36 Months,9.0,MORTGAGE,30000.0,Other,FL,8.56,None,37626.361110000005,705.0,2.0,0,5.0,None,9222.0,95.1,12.0,405,None,Creditworthy
7500,36 Months,1.0,RENT,37000.0,Other,TX,21.15,None,37170.47917,660.0,2.0,0,6.0,None,722.0,60.2,16.0,69,None,Uncreditworthy
20000,60 Months,2.0,RENT,55000.0,Major Purchase,SC,11.48,None,38205.070139999996,705.0,2.0,74,2.0,None,0.0,0.0,17.0,810,None,Creditworthy
35000,60 Months,5.0,MORTGAGE,100000.0,House,NY,12.04,None,30000.0,760.0,3.0,0,9.0,None,21376.0,23.0,23.0,0,None,Creditworthy
20000,36 Months,1.0,RENT,83500.0,Wedding,MA,19.77,None,36404.49306,700.0,2.0,42,19.0,None,28725.0,48.9,42.0,0,None,Creditworthy
18400,36 Months,4.0,MORTGAGE,109000.0,Credit Card,VA,14.38,None,34131.429169999996,700.0,1.0,0,9.0,None,50000.0,89.6,27.0,378,None,Creditworthy
21000,36 Months,0.5,OWN,45000.0,Vacation,CA,1.79,None,37452.088189999995,765.0,0.0,0,14.0,None,142.0,0.6,14.0,95,None,Creditworthy
7000,36 Months,5.0,MORTGAGE,80000.0,Credit Card,CT,8.21,None,35453.44792,735.0,0.0,0,12.0,None,26086.0,40.4,37.0,0,None,Creditworthy
25000,36 Months,10.0,MORTGAGE,102456.0,Credit Card,PA,17.76,One,31225.11458,705.0,0.0,20,13.0,None,25478.0,65.3,30.0,1000,None,Creditworthy
10800,36 Months,5.0,OWN,45000.0,Major Purchase,CA,1.63,None,39100.06389,770.0,0.0,0,6.0,None,1854.0,5.2,8.0,110,None,Creditworthy
7000,36 Months,3.0,RENT,32400.0,Debt Consolidation,VA,22.52,None,33393.443060000005,715.0,1.0,0,4.0,None,7368.0,87.6,7.0,0,None,Creditworthy
1100,36 Months,5.0,MORTGAGE,36000.0,Vacation,WI,12.2,None,35978.18264,670.0,2.0,27,9.0,None,15876.0,87.2,42.0,0,None,Uncreditworthy
5700,60 Months,2.0,RENT,40000.0,Other,MT,12.27,Two,38641.19444,660.0,2.0,6,11.0,None,0.0,0.0,18.0,137,None,Creditworthy
3500,36 Months,3.0,RENT,51000.0,Medical,CA,23.36,None,39813.4125,725.0,2.0,0,8.0,None,0.0,0.0,9.0,0,None,Uncreditworthy
2500,36 Months,1.0,RENT,62000.0,Debt Consolidation,NY,19.29,None,35140.14167,675.0,3.0,70,31.0,None,7180.0,34.4,37.0,153,None,Uncreditworthy
10000,36 Months,0.5,MORTGAGE,86807.0,Other,CA,13.34,None,32923.48194,735.0,0.0,0,12.0,None,39299.0,54.3,40.0,1000,None,Uncreditworthy
6950,36 Months,0.5,RENT,45000.0,Credit Card,MO,6.87,None,39014.119439999995,690.0,1.0,0,7.0,None,6631.0,54.4,16.0,0,None,Creditworthy
6000,36 Months,7.0,MORTGAGE,41000.0,Credit Card,KY,4.71,None,32864.423610000005,700.0,1.0,0,3.0,One,5285.0,52.8,11.0,453,One,Creditworthy
25000,36 Months,10.0,MORTGAGE,75689.0,Debt Consolidation,OK,10.05,None,36457.3125,735.0,0.0,0,8.0,None,23369.0,64.0,23.0,0,None,Creditworthy
8000,36 Months,0.5,OWN,70000.0,Car,NY,7.92,None,31425.27222,780.0,2.0,0,12.0,None,5236.0,8.7,27.0,1,None,Creditworthy
5600,36 Months,0.5,RENT,72000.0,Major Purchase,CA,17.23,None,37117.43819,685.0,0.0,32,13.0,None,8246.0,97.9,25.0,204,None,Creditworthy
10000,36 Months,10.0,MORTGAGE,120000.0,Debt Consolidation,NJ,17.4,One,30742.466669999998,690.0,0.0,8,8.0,None,29476.0,57.6,20.0,0,None,Creditworthy
15000,36 Months,3.0,MORTGAGE,64548.0,Debt Consolidation,DC,17.48,None,36664.45556,725.0,0.0,0,9.0,None,8917.0,42.9,22.0,0,None,Creditworthy
6000,36 Months,10.0,MORTGAGE,70000.0,Debt Consolidation,CA,15.87,None,35521.29722,695.0,1.0,0,10.0,None,37138.0,73.4,45.0,29,None,Uncreditworthy
8000,36 Months,5.0,RENT,54000.0,Wedding,MA,4.18,One,36420.11042,670.0,1.0,6,6.0,None,1657.0,36.0,12.0,0,None,Creditworthy
16000,60 Months,10.0,RENT,75000.0,Debt Consolidation,CA,8.4,None,38844.05625,685.0,0.0,0,5.0,None,6147.0,87.8,11.0,0,None,Creditworthy
14000,36 Months,4.0,OWN,55000.0,Home Improvement,TX,26.29,None,30114.33403,660.0,1.0,36,14.0,None,13852.0,65.6,19.0,221,None,Uncreditworthy
32000,60 Months,1.0,MORTGAGE,90000.0,Debt Consolidation,FL,25.47,None,36063.32917,675.0,3.0,0,11.0,None,31123.0,87.2,39.0,210,None,Creditworthy
16000,60 Months,2.0,RENT,28800.0,Home Improvement,OR,5.21,None,37798.50625,720.0,1.0,44,6.0,None,1317.0,12.3,7.0,448,None,Creditworthy
4000,36 Months,10.0,OWN,60000.0,Major Purchase,TX,4.26,None,36115.20625,770.0,0.0,45,13.0,None,8471.0,12.4,35.0,0,None,Creditworthy
28000,60 Months,3.0,RENT,76454.0,Debt Consolidation,NC,18.31,None,34348.413889999996,725.0,0.0,0,13.0,None,16105.0,45.2,63.0,104,None,Creditworthy
11500,36 Months,2.0,RENT,55000.0,Debt Consolidation,FL,16.83,None,37837.45208,670.0,1.0,24,16.0,None,11890.0,44.7,37.0,372,None,Creditworthy
6000,36 Months,2.0,RENT,74000.0,Debt Consolidation,MA,14.24,None,36841.31458,785.0,0.0,0,9.0,None,3738.0,14.3,15.0,391,None,Creditworthy
3000,60 Months,3.0,RENT,22000.0,Debt Consolidation,NJ,19.91,None,37274.36875,670.0,3.0,0,7.0,None,2989.0,52.4,8.0,0,None,Creditworthy
6000,36 Months,6.0,RENT,45000.0,Debt Consolidation,NY,19.73,None,36246.42708,695.0,1.0,0,12.0,One,6217.0,31.1,27.0,0,One,Creditworthy
9000,60 Months,10.0,MORTGAGE,57600.0,House,FL,12.17,None,32217.26042,730.0,2.0,0,10.0,None,42972.0,56.9,34.0,0,None,Uncreditworthy
1000,36 Months,6.0,MORTGAGE,74000.0,Medical,TX,23.43,None,34799.34236,660.0,1.0,0,19.0,None,21035.0,73.5,41.0,0,None,Uncreditworthy
6500,36 Months,0.5,OTHER,31992.0,Educationalal,CO,3.75,None,36426.12569,740.0,1.0,60,5.0,None,883.0,13.8,12.0,95,None,Creditworthy
9000,36 Months,2.0,RENT,90000.0,Debt Consolidation,FL,10.41,None,36439.45833,695.0,1.0,0,8.0,One,13793.0,93.2,21.0,143,One,Creditworthy
6000,36 Months,5.0,MORTGAGE,27600.0,Other,TX,19.0,None,38949.06319,685.0,3.0,0,7.0,None,13112.0,95.0,14.0,86,None,Uncreditworthy
4000,36 Months,0.5,RENT,30000.0,Debt Consolidation,PA,2.56,None,38344.10694,670.0,1.0,39,2.0,None,2278.0,71.2,17.0,0,None,Creditworthy
12000,60 Months,5.0,RENT,72000.0,Debt Consolidation,MA,13.12,None,36239.164580000004,710.0,1.0,0,10.0,None,16879.0,96.5,32.0,515,None,Creditworthy
10000,36 Months,10.0,RENT,56004.0,Other,NM,13.05,None,35467.18264,725.0,0.0,36,4.0,None,2624.0,48.6,8.0,509,None,Creditworthy
6000,36 Months,10.0,MORTGAGE,130000.0,Car,VA,11.06,None,31579.54097,670.0,3.0,0,19.0,None,42125.0,50.7,32.0,264,None,Creditworthy
3000,36 Months,0.0,OWN,24000.0,Credit Card,NY,2.2,None,30000.0,770.0,0.0,0,3.0,None,1228.0,26.7,8.0,593,None,Uncreditworthy
10000,36 Months,1.0,RENT,30000.0,Debt Consolidation,NY,5.16,None,37429.40417,745.0,4.0,0,5.0,None,7656.0,38.1,28.0,0,None,Creditworthy
7500,36 Months,0.5,RENT,50663.0,Debt Consolidation,NJ,3.88,None,36152.161810000005,680.0,2.0,25,10.0,None,7321.0,50.5,28.0,123,None,Creditworthy
18000,60 Months,10.0,MORTGAGE,120000.0,Major Purchase,NY,10.2,None,34002.09306,765.0,0.0,0,7.0,None,8417.0,13.6,17.0,111,None,Creditworthy
23000,36 Months,0.5,MORTGAGE,110000.0,Wedding,MD,11.04,None,35263.222219999996,770.0,0.0,0,9.0,None,50000.0,46.7,24.0,421,None,Creditworthy
2000,36 Months,3.0,RENT,62400.0,Other,NY,4.02,None,38062.454860000005,675.0,2.0,0,7.0,One,8160.0,54.0,10.0,161,None,Creditworthy
6250,36 Months,10.0,MORTGAGE,28800.0,Debt Consolidation,FL,18.04,None,33113.34236,720.0,0.0,0,5.0,None,14863.0,81.7,17.0,225,None,Creditworthy
6000,36 Months,3.0,MORTGAGE,80000.0,Debt Consolidation,CA,13.37,None,31165.420830000003,755.0,0.0,0,20.0,None,13244.0,31.4,32.0,0,None,Creditworthy
6400,36 Months,0.5,OWN,15600.0,Debt Consolidation,SC,12.69,One,34339.21389,755.0,0.0,14,6.0,None,7633.0,28.8,10.0,168,None,Creditworthy
4200,36 Months,0.5,OWN,27852.0,Car,PA,10.21,None,35992.288889999996,680.0,2.0,39,14.0,None,4002.0,61.6,28.0,95,None,Uncreditworthy
8000,36 Months,3.0,RENT,60000.0,Wedding,NY,4.8,None,37199.31458,785.0,1.0,0,9.0,None,607.0,4.3,11.0,838,None,Creditworthy
9000,36 Months,10.0,MORTGAGE,54000.0,Home Improvement,OH,9.38,None,32515.49444,740.0,1.0,0,12.0,None,50000.0,74.6,20.0,175,None,Creditworthy
7800,60 Months,2.0,RENT,40560.0,Car,OR,21.12,None,35627.50139,735.0,1.0,24,9.0,None,1040.0,19.3,29.0,0,None,Uncreditworthy
5000,36 Months,0.5,RENT,90000.0,Small Business,TX,4.32,None,38068.36597,760.0,1.0,0,6.0,None,4022.0,26.8,11.0,0,None,Uncreditworthy
9600,36 Months,8.0,RENT,75000.0,Debt Consolidation,AZ,11.46,None,39342.15208,685.0,0.0,0,13.0,None,9989.0,54.6,16.0,0,None,Creditworthy
4000,60 Months,4.0,RENT,42000.0,Debt Consolidation,CA,5.89,None,37830.37917,680.0,1.0,51,8.0,None,3751.0,63.2,10.0,0,None,Uncreditworthy
35000,60 Months,5.0,RENT,95000.0,Debt Consolidation,CA,7.41,None,35079.275,700.0,0.0,61,7.0,None,10954.0,35.1,17.0,1000,None,Creditworthy
13800,36 Months,2.0,MORTGAGE,51492.0,Debt Consolidation,WY,20.18,None,36534.10694,725.0,1.0,0,9.0,None,23126.0,39.9,22.0,939,None,Creditworthy
14700,36 Months,8.0,RENT,37200.0,Debt Consolidation,CT,21.94,None,37548.06111,700.0,2.0,0,14.0,None,14694.0,43.1,18.0,30,None,Uncreditworthy
22900,36 Months,10.0,MORTGAGE,108000.0,Debt Consolidation,NM,21.38,None,33030.164580000004,710.0,0.0,0,11.0,None,25400.0,88.3,33.0,0,None,Creditworthy
15000,36 Months,5.0,RENT,62000.0,Credit Card,CA,16.82,None,37558.388889999995,705.0,1.0,0,5.0,None,16283.0,73.7,6.0,92,None,Creditworthy
15000,36 Months,10.0,RENT,69996.0,Debt Consolidation,NY,18.28,One,32868.14097,715.0,1.0,23,6.0,None,4826.0,58.1,20.0,36,None,Creditworthy
2500,36 Months,0.5,RENT,17352.0,Other,GA,16.32,None,32786.49514,690.0,0.0,31,4.0,None,1245.0,31.1,21.0,1,None,Creditworthy
15250,60 Months,1.0,RENT,24000.0,Major Purchase,MN,11.65,None,38436.52014,745.0,2.0,0,4.0,None,848.0,8.1,9.0,178,None,Uncreditworthy
20000,60 Months,1.0,RENT,80000.0,Debt Consolidation,NY,15.48,None,37419.21667,730.0,0.0,0,9.0,None,21566.0,63.1,34.0,0,None,Creditworthy
8400,36 Months,5.0,MORTGAGE,94000.0,Educationalal,CA,22.54,None,36003.2625,680.0,1.0,0,14.0,None,50000.0,81.5,30.0,73,None,Uncreditworthy
14500,36 Months,5.0,MORTGAGE,45000.0,Debt Consolidation,RI,16.77,None,33022.35556,720.0,0.0,0,17.0,None,17449.0,55.7,44.0,0,None,Creditworthy
7550,36 Months,4.0,RENT,70000.0,Major Purchase,CA,12.06,None,36393.26806,745.0,0.0,0,13.0,None,6126.0,11.5,21.0,1,None,Creditworthy
4000,36 Months,3.0,RENT,40000.0,Small Business,MD,12.69,None,38941.50069,670.0,1.0,0,5.0,None,6841.0,69.4,8.0,0,None,Creditworthy
5000,36 Months,2.0,MORTGAGE,48000.0,Home Improvement,UT,0.38,None,31652.094439999997,810.0,0.0,0,3.0,None,52.0,0.3,10.0,90,None,Creditworthy
4750,36 Months,6.0,RENT,25000.0,Debt Consolidation,CA,24.48,None,39453.34236,670.0,1.0,0,8.0,None,4162.0,81.6,8.0,0,None,Creditworthy
8000,36 Months,3.0,RENT,30000.0,Debt Consolidation,NJ,9.8,One,37399.472219999996,700.0,1.0,19,5.0,None,5934.0,39.8,8.0,621,None,Creditworthy
9000,36 Months,3.0,MORTGAGE,42000.0,Home Improvement,AZ,2.69,None,30000.0,795.0,0.0,0,19.0,None,5689.0,6.2,54.0,360,None,Creditworthy
12500,60 Months,6.0,RENT,35000.0,Debt Consolidation,CA,19.95,None,36038.451389999995,700.0,1.0,44,10.0,None,17657.0,71.4,23.0,195,None,Uncreditworthy
7000,36 Months,3.0,RENT,62100.0,Credit Card,OR,12.52,None,37193.15,690.0,1.0,0,8.0,None,5546.0,69.3,15.0,151,None,Creditworthy
10400,36 Months,0.5,RENT,42000.0,Major Purchase,CA,13.69,None,38978.18958,730.0,0.0,0,9.0,None,4310.0,20.4,10.0,140,None,Creditworthy
10000,36 Months,1.0,RENT,48000.0,Other,PA,10.68,None,34396.117360000004,705.0,2.0,36,15.0,None,3486.0,51.3,25.0,561,None,Creditworthy
20000,36 Months,10.0,MORTGAGE,120456.0,Debt Consolidation,NY,21.04,None,33172.51944,685.0,2.0,0,16.0,None,50000.0,89.1,43.0,124,None,Creditworthy
11500,36 Months,10.0,MORTGAGE,115000.0,Debt Consolidation,MI,11.11,None,36062.090280000004,730.0,2.0,0,6.0,None,3777.0,94.4,20.0,196,None,Creditworthy
7000,36 Months,10.0,MORTGAGE,43200.0,Home Improvement,TX,3.47,None,33577.12639,700.0,0.0,68,12.0,None,3860.0,15.2,23.0,0,None,Uncreditworthy
3500,36 Months,5.0,RENT,48000.0,Credit Card,WA,8.45,None,36913.46736,690.0,0.0,61,12.0,None,9996.0,73.0,16.0,182,None,Creditworthy
27600,60 Months,10.0,MORTGAGE,78000.0,Debt Consolidation,WA,25.06,None,34218.413889999996,760.0,0.0,0,6.0,None,13029.0,51.5,34.0,123,None,Creditworthy
